species,species_id,path
N2,N#N_m1,geoms/N_t_N_m1.xyz
Ne,[Ne]_m1,geoms/_b_Ne_d__m1.xyz
CO(1),[C-]#[O+]_m1,geoms/_b_C-_d__t__b_O+_d__m1.xyz
H2(2),[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
O2(3),[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
H(4),[H]_m2,geoms/_b_H_d__m2.xyz
O(5),[O]_m3,geoms/_b_O_d__m3.xyz
HO2(10),[O]O_m2,geoms/_b_O_d_O_m2.xyz
CO2(12),O=C=O_m1,geoms/O=C=O_m1.xyz
OH(6),[OH]_m2,geoms/_b_OH_d__m2.xyz
H2O(7),O_m1,geoms/O_m1.xyz
HCO(13),[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
H2O2(11),OO_m1,geoms/OO_m1.xyz
CHO4(45),[O]OC(=O)O_m2,geoms/_b_O_d_OC_p_=O_q_O_m2.xyz
HOCO(39),O=[C]O_m2,geoms/O=_b_C_d_O_m2.xyz
CHO3(61),[O]C(=O)O_m2,geoms/_b_O_d_C_p_=O_q_O_m2.xyz
CHO2(38),[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
CHO4(44),[O]C(=O)OO_m2,geoms/_b_O_d_C_p_=O_q_OO_m2.xyz
CH2O3(82),O=C(O)O_m1,geoms/O=C_p_O_q_O_m1.xyz
